game_id,game_name,platform_id,genre_id,release_date,store_id,play_status,game_length,franchise_id,rating
97,Insurmountable,1,19,4/29/2021,3,1,5,,
98,Into the Breach,1,25,2/27/2018,3,1,25,,
99,Jedi Knight II: Jedi Outcast,1,6,3/26/2002,1,1,50,34,
100,Jedi Knight: Jedi Academy,1,6,9/16/2003,1,1,50,34,
101,Jurassic World Evolution,1,11,6/12/2018,3,1,,,
102,Kenshi,1,27,12/6/2018,8,1,150,,
103,Kerbal Space Program,1,16,4/27/2015,4,4,,,90
104,Killing Floor 2,1,6,11/18/2016,3,1,25,35,
105,Kingdom Come Deliverance Royal Edition,1,27,5/28/2019,4,1,80,,
106,Knights of the Old Republic,1,27,11/19/2003,8,1,40,36,
107,Left 4 Dead 2,1,4,11/16/2009,8,3,,37,
108,Mafia: Definitive Edition,1,2,9/24/2020,4,1,15,,
109,Magicka,1,4,1/25/2011,8,7,,,
110,Mark of the Ninja,3,15,10/16/2012,,1,10,,
111,Mass Effect,1,27,11/16/2007,8,2,45,38,90
112,Mass Effect 2,1,27,1/26/2010,8,2,35,38,100
113,Mass Effect 3,1,27,3/6/2012,6,2,35,38,90
114,Mass Effect: Andromeda Deluxe,1,27,3/20/2017,8,1,50,38,
115,Mass Effect: Legendary Edition,1,27,5/14/2021,6,1,120,38,
116,Metro 2033 Redux,1,6,8/5/2014,4,1,12,39,
117,Metro Exodus,4,6,2/14/2019,,1,25,39,
118,Metro: Last Light Redux,1,6,8/6/2014,4,1,30,39,
119,Metroid Dread,3,12,10/8/2021,,1,10,40,
120,Metroid Prime Remastered,3,12,2/8/2023,,1,15,40,
121,Metroid Prime: Hunters,2,12,3/20/2006,,1,10,40,
122,Middle Earth: Shadow of Mordor GOTY Edition,1,7,9/30/2014,4,1,20,41,
123,Middle Earth: Shadow of War,1,7,10/9/2017,4,1,30,41,
124,Monster Hunter Rise,3,7,1/2/2022,,1,50,42,
125,Moonlighter,1,19,5/29/2018,4,1,25,,
126,Need for Speed Heat,1,17,11/8/2019,6,3,,43,
127,Neverwinter Nights Enhanced Edition,1,27,3/27/2018,4,1,100,44,
128,Ni No Kuni - Revenant Kingdom,3,10,3/23/2018,,1,45,44,
129,Nier Automata,1,10,3/17/2017,8,1,40,45,
130,Nier Replicant,4,10,4/23/2021,,1,35,45,
131,"Nine Hours, Nine Persons, Nine Doors",2,16,12/10/2009,,1,15,,
